"ID","SESCORE__SUPPORTER_ID__C","MAILINGCOUNTRY","STATUS"
"0035g00000mgeRGAAY","S0261414M1","Malaysia","Item Updated"
"0035g00000oam62AAA","S0409299M1","Malaysia","Item Updated"
"0035g00000mfcD5AAI","S0017949M1","Malaysia","Item Updated"
"0035g00000oartWAAQ","S0431087M1","Malaysia","Item Updated"
"0035g00000mfkJlAAI","S0048875M1","Malaysia","Item Updated"
"0035g00000mfmKMAAY","S0056385M1","Malaysia","Item Updated"
"0035g00000mgXogAAE","S0236243M1","Malaysia","Item Updated"
"0035g00000mgI1JAAU","S0176197M1","Malaysia","Item Updated"
"0035g00000mfmQTAAY","S0056764M1","Malaysia","Item Updated"
"0035g00000mgAG7AAM","S0146988M1","Malaysia","Item Updated"
"0035g00000mgt4LAAQ","S0316153M1","Malaysia","Item Updated"
"0035g00000mfqYMAAY","S0072303M1","Malaysia","Item Updated"
"0035g00000mgGskAAE","S0171862M1","Malaysia","Item Updated"
"0035g00000ob2ssAAA","S0472718M1","Malaysia","Item Updated"
"0035g00000mg3I0AAI","S0120362M1","Malaysia","Item Updated"
"0035g00000mg5ceAAA","S0129265M1","Malaysia","Item Updated"
"0035g00000mgWuZAAU","S0232789M1","Malaysia","Item Updated"
"0035g00000mggnKAAQ","S0270395M1","Malaysia","Item Updated"
"0035g00000mgYnRAAU","S0239990M1","Malaysia","Item Updated"
"0035g00000oatTHAAY","S0437048M1","Malaysia","Item Updated"
"0035g00000mfcKTAAY","S0018402M1","Malaysia","Item Updated"
"0035g00000mgZYiAAM","S0242900M1","Malaysia","Item Updated"
"0035g00000oajwRAAQ","S0401156M1","Malaysia","Item Updated"
"0035g00000mfgaDAAQ","S0034614M1","Malaysia","Item Updated"
"0035g00000ob4ryAAA","S0480320M1","Malaysia","Item Updated"
"0035g00000mfkJtAAI","S0048883M1","Malaysia","Item Updated"
"0035g00000mfooqAAA","S0065848M1","Malaysia","Item Updated"
"0035g00000mgXojAAE","S0236246M1","Malaysia","Item Updated"
"0035g00000mge3oAAA","S0259965M1","Malaysia","Item Updated"
"0035g00000mfoQrAAI","S0064381M1","Malaysia","Item Updated"
"0035g00000mgAG9AAM","S0146990M1","Malaysia","Item Updated"
"0035g00000mglLQAAY","S0287525M1","Malaysia","Item Updated"
"0035g00000mfp0TAAQ","S0066559M1","Malaysia","Item Updated"
"0035g00000mgIIKAA2","S0177237M1","Malaysia","Item Updated"
"0035g00000ob21XAAQ","S0469416M1","Malaysia","Item Updated"
"0035g00000mfvqwAAA","S0092161M1","Malaysia","Item Updated"
"0035g00000mg5cfAAA","S0129266M1","Malaysia","Item Updated"
"0035g00000mgVsfAAE","S0228867M1","Malaysia","Item Updated"
"0035g00000mgAQ2AAM","S0147603M1","Malaysia","Item Updated"
"0035g00000mgLzhAAE","S0191128M1","Malaysia","Item Updated"
"0035g00000mgh6yAAA","S0271608M1","Malaysia","Item Updated"
"0035g00000mfb6eAAA","S0013811M1","Malaysia","Item Updated"
"0035g00000mgbu7AAA","S0251821M1","Malaysia","Item Updated"
"0035g00000oajtcAAA","S0400981M1","Malaysia","Item Updated"
"0035g00000mfcRBAAY","S0018813M1","Malaysia","Item Updated"
"0035g00000ob3EmAAI","S0474076M1","Malaysia","Item Updated"
"0035g00000mfkK4AAI","S0048894M1","Malaysia","Item Updated"
"0035g00000mfps6AAA","S0069854M1","Malaysia","Item Updated"
"0035g00000mgdjTAAQ","S0258714M1","Malaysia","Item Updated"
"0035g00000mg13HAAQ","S0111866M1","Malaysia","Item Updated"
"0035g00000mflf4AAA","S0053850M1","Malaysia","Item Updated"
"0035g00000mgCW0AAM","S0155581M1","Malaysia","Item Updated"
"0035g00000mgkbEAAQ","S0284796M1","Malaysia","Item Updated"
"0035g00000mfpGoAAI","S0067567M1","Malaysia","Item Updated"
"0035g00000mgGOyAAM","S0170076M1","Malaysia","Item Updated"
"0035g00000oazPlAAI","S0459439M1","Malaysia","Item Updated"
"0035g00000mftVKAAY","S0083388M1","Malaysia","Item Updated"
