"SESCORE__SUPPORTER_ID__C","MAILINGCOUNTRY","ERROR"
"S0359743M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0640075M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0417696M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0628894M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0410081M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0362500M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0170960M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0459133M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0400646M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0300679M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
